Kabupaten / Kota,Usia Harapan Hidup,Harapan Lama Sekolah,Rata-rata Lama Sekolah,Pengeluaran per Kapita,IPM 2021,lat,long
Kabupaten Banjarnegara,73.90,12.63,7.09,11034.00,67.86,-73.794,1.096.163
Kabupaten Banyumas,73.80,13.03,7.63,10534.00,72.44,-74.832,1.091.404
Kabupaten Batang,73.21,12.00,7.25,11546.00,68.92,-70.392,1.099.021
Kabupaten Blora,74.28,11.63,6.75,10032.00,69.37,-70.122,1.113.799
Kabupaten Boyolali,73.55,13.35,7.55,9407.00,74.40,-74.318,1.106.884
Kabupaten Brebes,74.87,13.51,8.21,9028.00,66.32,-69.592,1.089.027
Kabupaten Cilacap,71.94,11.76,6.82,10275.00,70.42,-76.178,1.089.027
Kabupaten Demak,73.88,12.55,7.79,10760.00,72.57,-69.239,1.106.646
Kabupaten Grobogan,76.03,12.57,7.85,9440.00,70.41,-71.542,1.109.507
Kabupaten Jepara,76.86,13.39,8.81,13031.00,72.36,-65.827,1.106.787
Kabupaten Karanganyar,77.73,13.84,9.35,12017.00,75.99,-76.387,111.046
Kabupaten Kebumen,76.28,12.50,7.34,11428.00,70.05,-76.681,1.096.525
Kabupaten Kendal,77.55,13.69,8.57,9429.00,72.50,-70.265,1.101.879
Kabupaten Klaten,75.79,12.84,7.66,11509.00,76.12,-76.579,1.106.646
Kabupaten Kudus,74.84,12.44,7.11,12679.00,75.16,-67.726,1.108.791
Kabupaten Magelang,74.51,12.35,6.99,10294.00,70.12,-74.305,1.102.832
Kabupaten Pati,74.61,12.12,7.30,9669.00,72.28,-6.745,111.046
Kabupaten Pekalongan,76.27,12.94,7.48,10519.00,70.11,-70.517,1.096.163
Kabupaten Pemalang,76.68,13.24,8.76,10506.00,66.56,-70.599,1.094.259
Kabupaten Purbalingga,75.91,12.76,7.79,11272.00,69.15,-73.059,1.094.259
Kabupaten Purworejo,75.46,13.32,7.86,10536.00,72.98,-76.965,1.099.989
Kabupaten Rembang,75.79,12.98,8.03,10248.00,70.43,-68.082,1.114.276
Kabupaten Semarang,75.64,12.32,7.25,12070.00,74.24,-71.765,1.104.739
Kabupaten Sragen,74.48,12.96,7.46,9408.00,74.08,-74.303,1.110.092
Kabupaten Sukoharjo,74.74,12.13,6.88,11608.00,77.13,-76.484,1.108.553
Kabupaten Tegal,73.74,12.42,7.17,9524.00,68.79,-68.588,1.091.048
Kabupaten Temanggung,73.53,11.96,6.45,10409.00,69.88,-72.749,1.100.892
Kabupaten Wonogiri,71.72,12.89,6.99,8573.00,70.49,-78.846,111.046
Kabupaten Wonosobo,69.54,12.05,6.22,9700.00,68.43,-73.632,1.099.002
Kota Magelang,76.93,14.15,10.62,10152.00,79.43,-74.797,1.102.177
Kota Pekalongan,77.32,14.88,10.90,12349.00,75.40,-68.898,1.096.746
Kota Salatiga,77.55,15.42,10.66,14911.00,83.60,-73.305,1.105.084
Kota Semarang,77.51,15.53,10.78,15843.00,83.55,-70.051,1.104.381
Kota Surakarta,74.44,12.85,9.18,15425.00,82.62,-75.755,1.108.243
Kota Tegal,74.54,13.07,8.73,12598.00,75.52,-68.797,1.091.256
